OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
44,19_M,8,6.000000000000000,6000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,112.204418789366301,0.908220491692962
45,19_N,9,4.000000000000000,4000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,109.381800559609559,0.514781630137076
46,19_O,10,4.000000000000000,4000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,94.060713128612576,0.570978765910586
47,19_P,11,5.000000000000000,5000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,86.184783083336441,0.269643246659784
48,19_T,12,5.000000000000000,5000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,87.375541532813145,0.160131056643571
49,19_V,13,4.000000000000000,4000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,87.290320921304357,0.163354865700543
50,19_W,14,4.000000000000000,4000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,84.910952993565331,0.057396571624662
51,19_X_A,15,4.000000000000000,4000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,84.100056640844656,0.420060966764398
52,19_X_B,16,4.000000000000000,4000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,95.634001919715502,0.916721523932029
53,19_Y,17,4.000000000000000,4000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,90.139078678309900,0.429676053973765
54,19_Z,18,5.000000000000000,5000000.000000000000000,sun,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,96.996092773053050,0.695417860611394
55,19_A,1,4.000000000000000,4000000.000000000000000,sun,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,125.121436237791357,0.407229073102108
56,19_AA,2,5.000000000000000,5000000.000000000000000,sun,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,166.837496478456330,0.273771676217179
57,19_BB,3,4.000000000000000,4000000.000000000000000,sun,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,167.829650964496409,0.286928257313356
58,19_E,4,3.000000000000000,3000000.000000000000000,sun,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,142.677670312929223,1.020918886986542
59,19_F,5,5.000000000000000,5000000.000000000000000,sun,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,107.930538195336609,0.295571816011347
60,19_J,6,6.000000000000000,6000000.000000000000000,sun,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,146.949718906671620,1.197319205693905
61,19_K,7,4.000000000000000,4000000.000000000000000,sun,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,115.295517134026539,0.169102395788017
62,19_M,8,6.000000000000000,6000000.000000000000000,sun,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,185.291316538550461,1.337728895677841
63,19_N,9,4.000000000000000,4000000.000000000000000,sun,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,180.721965709208490,0.758326621922398
64,19_O,10,4.000000000000000,4000000.000000000000000,sun,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,170.316384852042603,0.431147849240072
65,19_P,11,5.000000000000000,5000000.000000000000000,sun,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,159.359250780009461,0.559054895253262
