OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
32,19_W,14,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,84.697272857084329,0.010080708208706
33,19_X_A,15,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,84.295618792299976,0.072897140840544
34,19_X_B,16,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,83.700769811075148,0.025315413475835
35,19_Y,17,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,79.597247096863356,0.104707701766093
36,19_Z,18,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,80.656024608288533,0.081771632301604
37,19_A,1,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,83.620316365284864,0.216187731476680
38,19_AA,2,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,84.838910118526144,0.028418700015664
39,19_BB,3,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,84.788797365744571,0.026757223124283
40,19_E,4,3.000000000000000,3000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,84.192620278764011,0.054263253931044
41,19_F,5,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,81.596179122245871,0.095776956604195
42,19_J,6,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,82.247562919491713,0.074656626750446
43,19_K,7,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,81.484689695639872,0.098310146805809
44,19_M,8,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,79.820730632096456,0.095249439198771
45,19_N,9,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,79.651724255742394,0.047283975359064
46,19_O,10,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,83.178561622977156,0.081745586818762
47,19_P,11,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,85.313099008579613,0.060194341483488
48,19_T,12,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,82.504086075036554,0.016115175831645
49,19_V,13,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,82.462382507642843,0.008572738094917
50,19_W,14,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,85.305731444890171,0.005411873415694
51,19_X_A,15,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,85.071638416897827,0.037401027143091
52,19_X_B,16,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,84.700806643235694,0.032302191572745
53,19_Y,17,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,81.383811547055814,0.072587816119839
54,19_Z,18,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,82.222977049840864,0.057124415733225
55,19_A,1,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,81.053873178944229,0.289610128973484
56,19_AA,2,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,82.972306265260499,0.055244757829994
57,19_BB,3,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,83.073049442357018,0.042215735396830
58,19_E,4,3.000000000000000,3000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,82.195769800034640,0.075732550140695
59,19_F,5,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,79.645845539927436,0.115269293727032
60,19_J,6,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,81.249981800775984,0.151109550898424
61,19_K,7,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,80.006314492550757,0.121147927633785
62,19_M,8,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,77.994136303670601,0.172679089633272
63,19_N,9,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,77.585280561972183,0.073515260199201
64,19_O,10,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,82.413868044981385,0.073691403119133
65,19_P,11,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,83.925591624376452,0.061162899524147
66,19_T,12,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,81.760241734222859,0.075914262016781
67,19_V,13,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,81.945714409651288,0.042471827085813
68,19_W,14,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,84.590332765918191,0.005055466167074
69,19_X_A,15,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,84.103840122125362,0.034340249996856
70,19_X_B,16,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,83.845654468102282,0.027050348588108
71,19_Y,17,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,79.663862221956478,0.084685210345740
72,19_Z,18,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,81.199612639543261,0.111276700079976
73,19_A,1,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,73.475507872341694,0.250522013525931
74,19_AA,2,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,78.934179879915291,0.124083420179881
75,19_BB,3,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,79.226618825780903,0.087440177493354
76,19_E,4,3.000000000000000,3000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,77.642281558969387,0.102073291201737
77,19_F,5,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,73.355987870252733,0.091540025765369
78,19_J,6,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,74.760475131551161,0.146445200792311
79,19_K,7,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,73.560368014255957,0.122684847332597
80,19_M,8,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,75.506581598246754,0.204530568002581
81,19_N,9,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,74.851467117924557,0.085875765465625
82,19_O,10,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,77.173406941727663,0.030503653441764
83,19_P,11,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,81.857295650818159,0.128857944000311
84,19_T,12,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,78.344188701802352,0.026796947399028
85,19_V,13,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,78.430551684308000,0.016855313297305
86,19_W,14,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,79.065104867211460,0.032130610593675
87,19_X_A,15,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,79.527809691266441,0.052461094348490
88,19_X_B,16,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,78.544261987071224,0.043855519287109
89,19_Y,17,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,77.393067687864743,0.078387600844744
90,19_Z,18,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/05/2018 00:00:00,01/06/2018 00:00:00,74.721850683041367,0.121950862251156
91,19_A,1,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,70.975798304919167,0.344459853453260
92,19_AA,2,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,78.684450414623143,0.111580179297362
93,19_BB,3,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,78.941866213275731,0.080744561561873
94,19_E,4,3.000000000000000,3000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,74.311155608936033,0.084595121855610
95,19_F,5,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,71.255589499833803,0.111429276331624
96,19_J,6,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,77.423254877627713,0.213959528025415
97,19_K,7,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,71.130658108458434,0.165199013701195
98,19_M,8,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,75.152842266012925,0.183161325822413
99,19_N,9,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,74.541080052251999,0.080161527836878
100,19_O,10,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,77.589905727056589,0.065647094481643
101,19_P,11,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,80.393056353278993,0.135620095963386
102,19_T,12,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,77.106134090339566,0.027647950741537
103,19_V,13,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,77.147300545867267,0.010143394870589
104,19_W,14,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,77.670097735994773,0.023128517267506
105,19_X_A,15,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,78.582742038891396,0.034343837108180
106,19_X_B,16,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,78.715756894838137,0.055294839188795
107,19_Y,17,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,75.483320020408030,0.107166402009692
108,19_Z,18,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/06/2018 00:00:00,01/07/2018 00:00:00,77.325299709241762,0.126126742294680
109,19_A,1,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,64.029100809631700,0.334195409101921
110,19_AA,2,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,78.446464859207410,0.125296025346635
