OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
19,19_A,1,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,21.748301621146492,0.070315493614392
20,19_AA,2,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,24.808435271180830,0.059753344722871
21,19_BB,3,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,24.962190672419368,0.060276455038135
22,19_E,4,3.000000000000000,3000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,18.311140754501967,0.113646186653876
23,19_F,5,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,19.912728062299333,0.090659676006208
24,19_J,6,6.000000000000000,6000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,17.841730497987637,0.219058888012020
25,19_K,7,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,20.414385483270056,0.067516574571833
26,19_M,8,6.000000000000000,6000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,24.807667007696775,0.417603082930334
27,19_N,9,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,26.094198846802392,0.253693333887143
28,19_O,10,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,28.000000000000000,0.000000000000000
29,19_P,11,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,21.520782215748788,0.225026603065892
30,19_T,12,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,23.558233046012365,0.061674406181693
31,19_V,13,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,23.530411008820188,0.040598267540496
32,19_W,14,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,24.001025872423970,0.020145508915005
33,19_X_A,15,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,23.244096867945544,0.062920977217189
34,19_X_B,16,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,24.545087424284002,0.135819931548240
35,19_Y,17,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,22.048973396919209,0.220858575446633
36,19_Z,18,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/02/2018 00:00:00,01/03/2018 00:00:00,18.011730450428011,0.189769766441839
37,19_A,1,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,15.225375836847540,0.173925403475909
38,19_AA,2,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,20.825007860680959,0.068241023145796
39,19_BB,3,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,20.921270278260444,0.065674751820697
40,19_E,4,3.000000000000000,3000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,14.674555636593741,0.055432791646580
41,19_F,5,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,17.349213946083861,0.188691231516052
42,19_J,6,6.000000000000000,6000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,17.469950598921780,0.073155385250726
43,19_K,7,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,13.920543735723383,0.149950080815984
44,19_M,8,6.000000000000000,6000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,21.997400443631626,0.249709252413863
45,19_N,9,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,22.860412747443704,0.132519088095002
46,19_O,10,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,24.115519307406821,0.207489370725972
47,19_P,11,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,13.156793972106229,0.155769003772959
48,19_T,12,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,18.100023499386189,0.067539535976647
49,19_V,13,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,18.003737224306128,0.020644310427978
50,19_W,14,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,23.022068032093493,0.027660539087961
51,19_X_A,15,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,21.150270761562872,0.126761520807415
52,19_X_B,16,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,18.049599055205238,0.148425319944939
53,19_Y,17,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,19.938204557076823,0.194406773115259
54,19_Z,18,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/03/2018 00:00:00,01/04/2018 00:00:00,17.483124325757373,0.072975879062268
55,19_A,1,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,3.899605133820961,0.059042237989299
56,19_AA,2,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,14.747677697811442,0.054896331341762
57,19_BB,3,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,14.515601329866312,0.073086629440925
58,19_E,4,3.000000000000000,3000000.000000000000000,groundfrost,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,0.000000000000000,0.000000000000000
59,19_F,5,5.000000000000000,5000000.000000000000000,groundfrost,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,4.902108710709414,0.085354998742155
60,19_J,6,6.000000000000000,6000000.000000000000000,groundfrost,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,5.965311750526960,0.074224691408266
61,19_K,7,4.000000000000000,4000000.000000000000000,groundfrost,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,1.547578333412517,0.090620103002455
62,19_M,8,6.000000000000000,6000000.000000000000000,groundfrost,StdTime,01/04/2018 00:00:00,01/05/2018 00:00:00,11.006301904560914,0.423745136133288
